smiles,wxid,subset,reagent_id
Nc1ccc(C(F)(F)F)nc1,AF0310,AF,AF0310_AF
Nc1cccc(Cl)n1,AF0312,AF,AF0312_AF
Nc1ccnn1CCO,AF0314,AF,AF0314_AF
COc1cc(N)ncn1,AF0315,AF,AF0315_AF
Nc1cncc(Br)c1,AF0318,AF,AF0318_AF
Nc1ccnc(Cl)c1,AF0319,AF,AF0319_AF
Nc1ccc(Br)nc1,AF0320,AF,AF0320_AF
Nc1ncccc1F,AF0321,AF,AF0321_AF
Nc1ccc(O)nc1,AF0322,AF,AF0322_AF
Nc1ccc(Cl)nc1,AF0323,AF,AF0323_AF
COc1cc(N)ccn1,AF0324,AF,AF0324_AF
Nc1ccnc(O)c1,AF0326,AF,AF0326_AF
COc1ccc(N)c(C)n1,AF0327,AF,AF0327_AF
COC(=O)c1ccsc1N,AF0329,AF,AF0329_AF
COC(=O)c1nccnc1N,AF0330,AF,AF0330_AF
Nc1cc(Cl)cc(Cl)n1,AF0331,AF,AF0331_AF
Nc1cc(Cl)cnc1Cl,AF0332,AF,AF0332_AF
Nc1cccc(C(F)(F)F)n1,AF0333,AF,AF0333_AF
Nc1ncc(Cl)nc1Cl,AF0335,AF,AF0335_AF
Nc1ncc(Br)cc1Br,AF0336,AF,AF0336_AF
Cc1ccc(N)c(Br)n1,AF0337,AF,AF0337_AF
Nc1cnc(Cl)cn1,AF0338,AF,AF0338_AF
N#Cc1cncc(N)c1,AF0339,AF,AF0339_AF
Nc1cc(O)nc(O)n1,AF0340,AF,AF0340_AF
Nc1ncc(Cl)cc1F,AF0341,AF,AF0341_AF
Nc1cncc(F)c1,AF0342,AF,AF0342_AF
COC(=O)c1ncccc1N,AF0343,AF,AF0343_AF
CCOC(=O)c1c(N)sc2c1CCCC2,AF0344,AF,AF0344_AF
CCOC(=O)c1cccnc1N,AF0345,AF,AF0345_AF
Cc1cc(N)cnc1Cl,AF0346,AF,AF0346_AF
Nc1ncccc1O,AF0347,AF,AF0347_AF
Nc1ccc(Br)nc1Br,AF0348,AF,AF0348_AF
COC(=O)c1cccnc1N,AF0349,AF,AF0349_AF
COC(=O)c1scc(C)c1N,AF0351,AF,AF0351_AF
NC(=O)c1nc[nH]c1N,AF0352,AF,AF0352_AF
Nc1cncnc1Cl,AF0353,AF,AF0353_AF
CCOC(=O)c1cnoc1N,AF0354,AF,AF0354_AF
Cn1ncc(C#N)c1N,AF0355,AF,AF0355_AF
Cc1ccc(Br)c(N)n1,AF0356,AF,AF0356_AF
Nc1ccc(Cl)nc1Cl,AF0357,AF,AF0357_AF
Nc1cc(Cl)nc(Cl)c1,AF0358,AF,AF0358_AF
Nc1cccnc1[N+](=O)[O-],AF0359,AF,AF0359_AF
COC(=O)c1cc(Br)cnc1N,AF0360,AF,AF0360_AF
Nc1cc(Cl)nnc1Cl,AF0361,AF,AF0361_AF
NC(=O)c1ccsc1N,AF0362,AF,AF0362_AF
Nc1ncccc1[N+](=O)[O-],AF0363,AF,AF0363_AF
N#Cc1ccsc1N,AF0365,AF,AF0365_AF
Nc1cncc(Cl)n1,AF0366,AF,AF0366_AF
COc1nccc(C)c1N,AF0367,AF,AF0367_AF
CCOC(=O)c1cc[nH]c1N,AF0368,AF,AF0368_AF
Nc1cncc(F)c1I,AF0371,AF,AF0371_AF
Nc1ccnc2cc(C(F)(F)F)ccc12,AF0373,AF,AF0373_AF
CCOC(=O)c1cnn(C)c1N,AF0374,AF,AF0374_AF
Nc1c(F)c(F)nc(F)c1F,AF0375,AF,AF0375_AF
Cc1nc(N)c(Br)cc1Br,AF0376,AF,AF0376_AF
Nc1c(C(F)(F)F)cc(Cl)nc1Cl,AF0377,AF,AF0377_AF
Cn1ncc(Br)c1N,AF0379,AF,AF0379_AF
CCOC(=O)c1cnn(-c2ccc(F)cc2)c1N,AF0381,AF,AF0381_AF
CC(=O)Nc1ccc(N)cn1,AF0385,AF,AF0385_AF
NC(=O)c1sccc1N,AF0386,AF,AF0386_AF
Nc1ccc(C(F)(F)F)nc1Cl,AF0387,AF,AF0387_AF
Nc1ncc(Br)cc1[N+](=O)[O-],AF0388,AF,AF0388_AF
CN1CCc2c(sc(N)c2C(N)=O)C1,AF0389,AF,AF0389_AF
COc1ncnc(Cl)c1N,AF0391,AF,AF0391_AF
NC(=O)c1c(N)sc2c1CCC2,AF0392,AF,AF0392_AF
Nc1c(Cl)c(F)nc(F)c1Cl,AF0393,AF,AF0393_AF
COc1ccc([N+](=O)[O-])c(N)n1,AF0394,AF,AF0394_AF
Nc1ccnc(Br)c1,AF0395,AF,AF0395_AF
Nc1cnccc1C(F)(F)F,AF0396,AF,AF0396_AF
CCOC(=O)c1[nH]c2ccccc2c1N,AF0397,AF,AF0397_AF
NC(=O)c1c(N)sc2c1CCCC2,AF0398,AF,AF0398_AF
Nc1cccnc1Br,AF0399,AF,AF0399_AF
Nc1ccc(F)nc1,AF0400,AF,AF0400_AF
Cc1ccc2c(N)[nH]nc2n1,AF0401,AF,AF0401_AF
CCOC(=O)c1nonc1N,AF0403,AF,AF0403_AF
CCOC(=O)c1c(N)sc2c1CCCC2=O,AF0404,AF,AF0404_AF
CC1CCc2c(sc(N)c2C(N)=O)C1,AF0406,AF,AF0406_AF
Cc1nn(C)c(C)c1N,AF0407,AF,AF0407_AF
COc1ccc(Cn2nccc2N)cc1,AF0408,AF,AF0408_AF
Cc1cc(N)n(C(C)C)n1,AF0416,AF,AF0416_AF
COC(=O)c1sccc1N,AF0417,AF,AF0417_AF
Cc1nc(O)nc(O)c1N,AF0418,AF,AF0418_AF
Nc1cccnc1F,AF0419,AF,AF0419_AF
Nc1cnccc1CO,AF0420,AF,AF0420_AF
CCn1cc(N)cn1,AF0422,AF,AF0422_AF
Cc1ccnc(Cl)c1N,AF0425,AF,AF0425_AF
Cc1nc(N)c(Cl)cc1Cl,AF0428,AF,AF0428_AF
CCc1c(C)sc(N)c1C(N)=O,AF0429,AF,AF0429_AF
Nc1cccc(I)n1,AF0430,AF,AF0430_AF
COC(=O)c1c(N)sc2c1CCCC2,AF0431,AF,AF0431_AF
Nc1ncc([N+](=O)[O-])cc1Br,AF0432,AF,AF0432_AF
Cc1ccc(N)c(F)n1,AF0433,AF,AF0433_AF
Nc1ncc(Cl)cc1[N+](=O)[O-],AF0434,AF,AF0434_AF
Cc1cnc(Cl)c(N)c1,AF0435,AF,AF0435_AF
CCOC(=O)c1c(N)sc2c1CCC2,AF0436,AF,AF0436_AF
Nc1cc(O)ncn1,AF0437,AF,AF0437_AF
Nc1cnc(Cl)c(Br)c1,AF0438,AF,AF0438_AF
Nc1ncccc1C(F)(F)F,AF0439,AF,AF0439_AF
Nc1cccnc1O,AF0440,AF,AF0440_AF
N#Cc1c(N)sc2c1CCC2,AF0441,AF,AF0441_AF
Nc1ncc(Cl)cc1I,AF0442,AF,AF0442_AF
COC(=O)c1c(N)sc2c1CCC2,AF0443,AF,AF0443_AF
Nc1cc(Br)cnc1F,AF0444,AF,AF0444_AF
Nc1ncc(F)cc1I,AF0445,AF,AF0445_AF
Nc1[nH]nc2ncccc12,AF0446,AF,AF0446_AF
Nc1cnn(Cc2ccccc2)c1,AF0447,AF,AF0447_AF
Nc1cc(Br)cnc1Br,AF0448,AF,AF0448_AF
Nc1ncc(F)cc1F,AF0449,AF,AF0449_AF
Cc1sc(N)c(C(N)=O)c1C,AF0450,AF,AF0450_AF
Nc1ncc(C(F)(F)F)cc1Br,AF0452,AF,AF0452_AF
CCc1c(C)sc(N)c1C(=O)OC,AF0456,AF,AF0456_AF
CCOC(=O)c1sc(N)c(C(=O)OCC)c1C,AF0457,AF,AF0457_AF
CCOC(=O)c1c(N)sc2c1CCC(C)C2,AF0460,AF,AF0460_AF
CCOC(=O)c1c(N)sc2c1CCCCC2,AF0464,AF,AF0464_AF
COC(=O)c1sc(N)c(C#N)c1C,AF0465,AF,AF0465_AF
CCOC(=O)c1cc(-c2ccccc2)sc1N,AF0467,AF,AF0467_AF
CCOC(=O)c1c(N)sc(C)c1C,AF0470,AF,AF0470_AF
COC(=O)c1c(N)sc(C)c1C,AF0471,AF,AF0471_AF
COc1cccc(-c2cc(N)on2)c1,AF0473,AF,AF0473_AF
Cc1cc(F)ncc1N,AF0474,AF,AF0474_AF
COC(=O)c1sc(C)cc1N,AF0476,AF,AF0476_AF
COC(=O)c1sc2ncccc2c1N,AF0478,AF,AF0478_AF
COC(=O)c1n[nH]cc1N,AF0481,AF,AF0481_AF
Nc1ncc(C(F)(F)F)cc1F,AF0482,AF,AF0482_AF
CCn1cc(N)c(C)n1,AF0486,AF,AF0486_AF
Cc1cc(N)n(CCO)n1,AF0487,AF,AF0487_AF
Cc1cc(N)n(-c2ccc(F)cc2)n1,AF0488,AF,AF0488_AF
Cc1cc(C#N)c(N)s1,AF0489,AF,AF0489_AF
Cc1cnc(N)c(I)c1,AF0492,AF,AF0492_AF
Nc1ccc(Br)nc1Cl,AF0493,AF,AF0493_AF
Cc1ccc(-c2cc(N)on2)cc1,AF0494,AF,AF0494_AF
Nc1cc(-c2ccccc2)nn1-c1ccccc1,AF0496,AF,AF0496_AF
Cn1nc(-c2ccccc2)cc1N,AF0497,AF,AF0497_AF
CCOC(=O)c1oc2ccccc2c1N,AF0498,AF,AF0498_AF
CCOC(=O)c1cc(Br)cnc1N,AF0502,AF,AF0502_AF
N#Cc1cnc(N)c(Br)c1,AF0504,AF,AF0504_AF
Cc1ccc(-n2ncc(C#N)c2N)cc1,AF0505,AF,AF0505_AF
N#Cc1cnc(N)c(Cl)c1,AF0506,AF,AF0506_AF
N#Cc1c(N)oc(-c2ccccc2)c1-c1ccccc1,AF0507,AF,AF0507_AF
Nc1ccc(N2CCOCC2)nc1,AF0509,AF,AF0509_AF
COC(=O)c1cnc(N)c(Br)c1,AF0511,AF,AF0511_AF
Cn1nc(N)c2cccnc21,AF0513,AF,AF0513_AF
N#Cc1cnn(-c2ccc([N+](=O)[O-])cc2)c1N,AF0514,AF,AF0514_AF
Cc1cc(N)n(C(C)(C)C)n1,AF0516,AF,AF0516_AF
Cc1[nH]c(N)c(C#N)c1C,AF0517,AF,AF0517_AF
CN1CCN(c2ncccc2N)CC1,AF0519,AF,AF0519_AF
COC(=O)c1ccncc1N,AF0521,AF,AF0521_AF
